---,type,spawnTime,spawnPosition
1,"(TagName=""CutterType.Controll.Circle"")",2,"(X=480,Y=0,Z=0)"
2,"(TagName=""CutterType.Controll.StraightYoYo"")",4,"(X=0,Y=0,Z=0)"
3,"(TagName=""CutterType.Auto.Expand"")",4,"(X=0,Y=680,Z=0)"
4,"(TagName=""CutterType.Auto.Expand"")",4,"(X=0,Y=-680,Z=0)"
5,"(TagName=""CutterType.Controll.FractalCircle"")",7,"(X=680,Y=-600,Z=0)"
6,"(TagName=""CutterType.Controll.FractalCircle"")",11,"(X=680,Y=600,Z=0)"
7,"(TagName=""CutterType.Controll.StraightYoYo"")",13,"(X=-560,Y=480,Z=0)"
8,"(TagName=""CutterType.Controll.StraightYoYo"")",17,"(X=-560,Y=-480,Z=0)"
9,"(TagName=""CutterType.Controll.Circle"")",19,"(X=0,Y=-600,Z=0)"
10,"(TagName=""CutterType.Controll.Circle"")",22,"(X=0,Y=600,Z=0)"
11,"(TagName=""CutterType.Controll.Circle"")",28,"(X=250,Y=300,Z=0)"
12,"(TagName=""CutterType.Controll.Circle"")",30,"(X=-250,Y=-300,Z=0)"
13,"(TagName=""CutterType.Controll.Circle"")",33,"(X=-80,Y=0,Z=0)"
14,"(TagName=""CutterType.Auto.Expand"")",33,"(X=-660,Y=0,Z=0)"
